Word = frowning, Frequency = 4
Word = fondofof, Frequency = 1
Word = alices, Frequency = 12
Word = worried, Frequency = 1
Word = kitchen, Frequency = 4
Word = lark, Frequency = 1
Word = escape, Frequency = 4
Word = funny, Frequency = 3
Word = think, Frequency = 53
Word = occurred, Frequency = 2
Word = refused, Frequency = 1
Word = beating, Frequency = 2
Word = uneasily, Frequency = 2
Word = anxiously, Frequency = 14
Word = fainting, Frequency = 1
Word = entirely, Frequency = 2
Word = mournfully, Frequency = 1
Word = standing, Frequency = 1
Word = watch, Frequency = 8
Word = speech, Frequency = 3
Word = ointmentone, Frequency = 1
Word = dodo, Frequency = 13
Word = purple, Frequency = 1
Word = feelings, Frequency = 2
Word = cartwheels, Frequency = 1
Word = fashion, Frequency = 2
Word = lefthand, Frequency = 2
Word = slatepencil, Frequency = 1
Word = undertone, Frequency = 2
Word = lie, Frequency = 2
Word = daisychain, Frequency = 1
Word = accounting, Frequency = 1
Word = shook, Frequency = 9
Word = late, Frequency = 6
Word = fellows, Frequency = 1
Word = school, Frequency = 5
Word = lit, Frequency = 1
Word = feathers, Frequency = 1
Word = blows, Frequency = 1
Word = dogs, Frequency = 4
Word = immense, Frequency = 1
Word = hat, Frequency = 1
Word = shrieks, Frequency = 1
Word = cautiously, Frequency = 3
Word = brush, Frequency = 1
Word = glass, Frequency = 10
Word = pronounced, Frequency = 1
Word = sighed, Frequency = 5
Word = pigbaby, Frequency = 1
Word = juror, Frequency = 1
Word = prosecute, Frequency = 1
Word = dunce, Frequency = 1
Word = wash, Frequency = 2
Word = doubt, Frequency = 4
Word = loveliest, Frequency = 1
Word = uncomfortable, Frequency = 4
Word = measure, Frequency = 1
Word = involved, Frequency = 1
Word = playing, Frequency = 2
Word = fixed, Frequency = 1
Word = rattle, Frequency = 1
Word = swim, Frequency = 5
Word = jurymen, Frequency = 5
Word = full, Frequency = 6
Word = pepper, Frequency = 7
Word = memory, Frequency = 1
Word = cards, Frequency = 3
Word = askance, Frequency = 1
Word = asking, Frequency = 5
Word = impossible, Frequency = 3
Word = millennium, Frequency = 1
Word = complaining, Frequency = 1
Word = dried, Frequency = 1
Word = settling, Frequency = 1
Word = house, Frequency = 18
Word = mice, Frequency = 3
Word = realitythe, Frequency = 1
Word = yesterday, Frequency = 3
Word = currants, Frequency = 1
Word = denying, Frequency = 1
Word = attends, Frequency = 1
Word = assembled, Frequency = 2
Word = contemptuously, Frequency = 2
Word = steady, Frequency = 1
Word = vote, Frequency = 1
Word = earls, Frequency = 2
Word = hours, Frequency = 4
Word = unjust, Frequency = 1
Word = yer, Frequency = 4
Word = shore, Frequency = 3
Word = gravely, Frequency = 3
Word = pair, Frequency = 5
Word = licking, Frequency = 1
Word = manage, Frequency = 7
Word = fallen, Frequency = 4
Word = delightful, Frequency = 2
Word = cauldron, Frequency = 2
Word = thenshe, Frequency = 1
Word = verses, Frequency = 4
Word = imitated, Frequency = 1
Word = downward, Frequency = 1
Word = youll, Frequency = 6
Word = hed, Frequency = 1
Word = happy, Frequency = 1
Word = pun, Frequency = 1
Word = alice, Frequency = 385
Word = put, Frequency = 31
Word = climb, Frequency = 1
Word = eaglet, Frequency = 3
Word = remembered, Frequency = 5
Word = lessonbook, Frequency = 1
Word = hes, Frequency = 3
Word = golden, Frequency = 7
Word = fountains, Frequency = 2
Word = lonely, Frequency = 2
Word = pale, Frequency = 4
Word = rustled, Frequency = 1
Word = furiously, Frequency = 1
Word = flowers, Frequency = 2
Word = threw, Frequency = 2
Word = players, Frequency = 4
Word = lesson, Frequency = 1
Word = dates, Frequency = 1
Word = fryingpan, Frequency = 1
Word = coast, Frequency = 1
Word = tiny, Frequency = 4
Word = telescopes, Frequency = 1
Word = consultation, Frequency = 1
Word = sorrows, Frequency = 1
Word = muddle, Frequency = 1
Word = hookah, Frequency = 5
Word = flinging, Frequency = 1
Word = uncomfortably, Frequency = 1
Word = lazy, Frequency = 1
Word = bright, Frequency = 7
Word = teaching, Frequency = 1
Word = crimson, Frequency = 2
Word = growl, Frequency = 3
Word = grown, Frequency = 7
Word = confusing, Frequency = 3
Word = merely, Frequency = 2
Word = manners, Frequency = 1
Word = themi, Frequency = 1
Word = meant, Frequency = 5
Word = means, Frequency = 4
Word = edwin, Frequency = 2
Word = classics, Frequency = 1
Word = fury, Frequency = 3
Word = centre, Frequency = 1
Word = lately, Frequency = 1
Word = blown, Frequency = 1
Word = wonderland, Frequency = 3
Word = ravens, Frequency = 1
Word = fetch, Frequency = 7
Word = fellow, Frequency = 4
Word = garden, Frequency = 15
Word = hanging, Frequency = 3
Word = contradicted, Frequency = 1
Word = choice, Frequency = 2
Word = doubledup, Frequency = 1
Word = theni, Frequency = 1
Word = door, Frequency = 29
Word = teacup, Frequency = 3
Word = quick, Frequency = 2
Word = dodged, Frequency = 1
Word = hid, Frequency = 1
Word = audibly, Frequency = 1
Word = beak, Frequency = 1
Word = saucepans, Frequency = 1
Word = sixteenth, Frequency = 1
Word = tell, Frequency = 31
Word = listen, Frequency = 7
Word = wondering, Frequency = 7
Word = daresay, Frequency = 1
Word = voicethe, Frequency = 1
Word = hit, Frequency = 2
Word = antipathies, Frequency = 1
Word = beat, Frequency = 4
Word = interrupt, Frequency = 1
Word = disappeared, Frequency = 2
Word = sobs, Frequency = 4
Word = emphasis, Frequency = 1
Word = checked, Frequency = 3
Word = pointing, Frequency = 4
Word = bear, Frequency = 1
Word = affair, Frequency = 1
Word = majesty, Frequency = 12
Word = consider, Frequency = 4
Word = brightened, Frequency = 2
Word = accustomed, Frequency = 1
Word = raising, Frequency = 1
Word = drinking, Frequency = 1
Word = curiosity, Frequency = 5
Word = minutes, Frequency = 11
Word = tree, Frequency = 5
Word = pleaded, Frequency = 3
Word = shouting, Frequency = 2
Word = history, Frequency = 7
Word = hersshe, Frequency = 1
Word = water, Frequency = 4
Word = puzzling, Frequency = 4
Word = pause, Frequency = 2
Word = stays, Frequency = 1
Word = whiskers, Frequency = 3
Word = twice, Frequency = 5
Word = isbirds, Frequency = 1
Word = nibbling, Frequency = 3
Word = tittered, Frequency = 1
Word = managing, Frequency = 1
Word = sobbed, Frequency = 1
Word = apples, Frequency = 2
Word = dont, Frequency = 60
Word = croqueting, Frequency = 1
Word = alternately, Frequency = 1
Word = fulcrum, Frequency = 1
Word = part, Frequency = 2
Word = shepherd, Frequency = 1
Word = conversations, Frequency = 1
Word = thirteen, Frequency = 1
Word = werent, Frequency = 1
Word = sounds, Frequency = 4
Word = tones, Frequency = 2
Word = frighten, Frequency = 1
Word = relief, Frequency = 2
Word = wildly, Frequency = 2
Word = ceiling, Frequency = 1
Word = noticing, Frequency = 1
Word = crowded, Frequency = 5
Word = teapot, Frequency = 1
Word = clean, Frequency = 1
Word = meal, Frequency = 1
Word = ears, Frequency = 5
Word = mean, Frequency = 10
Word = glad, Frequency = 11
Word = meat, Frequency = 1
Word = persisted, Frequency = 2
Word = hurry, Frequency = 11
Word = blacking, Frequency = 1
Word = account, Frequency = 1
Word = uneasy, Frequency = 1
Word = furrows, Frequency = 1
Word = hasnt, Frequency = 2
Word = hoarse, Frequency = 3
Word = beasts, Frequency = 2
Word = conqueror, Frequency = 2
Word = shouted, Frequency = 9
Word = advance, Frequency = 3
Word = doth, Frequency = 3
Word = skimming, Frequency = 1
Word = engraved, Frequency = 1
Word = finds, Frequency = 1
Word = startled, Frequency = 2
Word = rumbling, Frequency = 1
Word = examining, Frequency = 1
Word = railway, Frequency = 2
Word = unrolled, Frequency = 2
Word = hunting, Frequency = 3
Word = knowledge, Frequency = 3
Word = soft, Frequency = 1
Word = happen, Frequency = 8
Word = enoughi, Frequency = 1
Word = carefully, Frequency = 3
Word = banks, Frequency = 1
Word = pass, Frequency = 1
Word = mile, Frequency = 2
Word = shock, Frequency = 1
Word = milk, Frequency = 1
Word = delighted, Frequency = 2
Word = opportunity, Frequency = 8
Word = bill, Frequency = 12
Word = court, Frequency = 18
Word = easy, Frequency = 2
Word = sixpence, Frequency = 1
Word = venture, Frequency = 3
Word = smiled, Frequency = 2
Word = bathing, Frequency = 1
Word = eats, Frequency = 1
Word = teacups, Frequency = 2
Word = trying, Frequency = 14
Word = beds, Frequency = 1
Word = processions, Frequency = 1
Word = shiver, Frequency = 1
Word = bottle, Frequency = 10
Word = hot, Frequency = 5
Word = waited, Frequency = 11
Word = adoption, Frequency = 1
Word = grass, Frequency = 4
Word = hearing, Frequency = 4
Word = annoyed, Frequency = 1
Word = mind, Frequency = 10
Word = pennyworth, Frequency = 1
Word = chin, Frequency = 7
Word = business, Frequency = 7
Word = tail, Frequency = 9
Word = subjects, Frequency = 1
Word = right, Frequency = 31
Word = shoes, Frequency = 7
Word = march, Frequency = 33
Word = tells, Frequency = 2
Word = answer, Frequency = 9
Word = taught, Frequency = 4
Word = meet, Frequency = 2
Word = returning, Frequency = 1
Word = series, Frequency = 1
Word = seashore, Frequency = 1
Word = arches, Frequency = 4
Word = london, Frequency = 1
Word = dig, Frequency = 1
Word = putting, Frequency = 3
Word = added, Frequency = 23
Word = rubbed, Frequency = 1
Word = questions, Frequency = 3
Word = inclined, Frequency = 1
Word = promise, Frequency = 1
Word = cheated, Frequency = 1
Word = hold, Frequency = 9
Word = shifting, Frequency = 1
Word = tale, Frequency = 4
Word = wretched, Frequency = 2
Word = absurd, Frequency = 2
Word = seals, Frequency = 1
Word = lookout, Frequency = 1
Word = bird, Frequency = 2
Word = itthat, Frequency = 1
Word = adding, Frequency = 1
Word = porpoise, Frequency = 4
Word = forgotten, Frequency = 6
Word = talk, Frequency = 14
Word = barleysugar, Frequency = 1
Word = listened, Frequency = 1
Word = reply, Frequency = 5
Word = seated, Frequency = 1
Word = hatter, Frequency = 55
Word = journey, Frequency = 1
Word = remained, Frequency = 3
Word = creep, Frequency = 1
Word = muttered, Frequency = 2
Word = brown, Frequency = 2
Word = acceptance, Frequency = 1
Word = month, Frequency = 2
Word = immediate, Frequency = 1
Word = puzzled, Frequency = 9
Word = learnt, Frequency = 2
Word = blame, Frequency = 1
Word = paws, Frequency = 4
Word = confusion, Frequency = 5
Word = faceand, Frequency = 1
Word = carrying, Frequency = 2
Word = growling, Frequency = 1
Word = rabbitholeand, Frequency = 1
Word = squeeze, Frequency = 1
Word = waiting, Frequency = 9
Word = back, Frequency = 38
Word = apiece, Frequency = 1
Word = hedgehogs, Frequency = 3
Word = nightair, Frequency = 1
Word = swallowed, Frequency = 1
Word = wasnt, Frequency = 11
Word = trot, Frequency = 1
Word = bite, Frequency = 2
Word = busily, Frequency = 4
Word = doze, Frequency = 1
Word = company, Frequency = 1
Word = passed, Frequency = 5
Word = notice, Frequency = 5
Word = jury, Frequency = 17
Word = idiot, Frequency = 1
Word = remembering, Frequency = 1
Word = length, Frequency = 1
Word = arminarm, Frequency = 1
Word = fancywhos, Frequency = 1
Word = grand, Frequency = 3
Word = home, Frequency = 5
Word = decidedly, Frequency = 4
Word = maam, Frequency = 1
Word = baby, Frequency = 13
Word = grant, Frequency = 1
Word = explain, Frequency = 10
Word = muscular, Frequency = 1
Word = boyand, Frequency = 1
Word = brothers, Frequency = 1
Word = istake, Frequency = 1
Word = dropped, Frequency = 5
Word = answers, Frequency = 1
Word = shedding, Frequency = 1
Word = tuliproots, Frequency = 1
Word = hope, Frequency = 3
Word = attempt, Frequency = 1
Word = thick, Frequency = 1
Word = doesnt, Frequency = 16
Word = stalk, Frequency = 1
Word = aliceand, Frequency = 1
Word = bend, Frequency = 2
Word = lock, Frequency = 1
Word = latin, Frequency = 1
Word = letters, Frequency = 1
Word = chatte, Frequency = 1
Word = fear, Frequency = 4
Word = lying, Frequency = 8
Word = song, Frequency = 7
Word = minding, Frequency = 1
Word = bleeds, Frequency = 1
Word = belt, Frequency = 1
Word = executioner, Frequency = 5
Word = bythe, Frequency = 1
Word = chop, Frequency = 1
Word = signed, Frequency = 2
Word = sense, Frequency = 3
Word = mouthsand, Frequency = 1
Word = knowand, Frequency = 1
Word = altered, Frequency = 1
Word = heavy, Frequency = 2
Word = timidly, Frequency = 9
Word = threelegged, Frequency = 2
Word = hoping, Frequency = 3
Word = printed, Frequency = 1
Word = afford, Frequency = 1
Word = field, Frequency = 1
Word = lacie, Frequency = 1
Word = messages, Frequency = 2
Word = dog, Frequency = 2
Word = upset, Frequency = 3
Word = duchesss, Frequency = 3
Word = unpleasant, Frequency = 2
Word = diligently, Frequency = 1
Word = goodbye, Frequency = 1
Word = glanced, Frequency = 1
Word = beor, Frequency = 1
Word = summer, Frequency = 2
Word = mad, Frequency = 14
Word = known, Frequency = 1
Word = nurse, Frequency = 2
Word = herald, Frequency = 1
Word = puppys, Frequency = 1
Word = man, Frequency = 5
Word = stand, Frequency = 6
Word = waynever, Frequency = 1
Word = knows, Frequency = 2
Word = listeners, Frequency = 1
Word = bent, Frequency = 1
Word = favourite, Frequency = 1
Word = able, Frequency = 1
Word = crouched, Frequency = 1
Word = spectacles, Frequency = 3
Word = evening, Frequency = 2
Word = feet, Frequency = 19
Word = sulkily, Frequency = 2
Word = instance, Frequency = 3
Word = subject, Frequency = 6
Word = feel, Frequency = 8
Word = banquet, Frequency = 1
Word = terribly, Frequency = 1
Word = nursing, Frequency = 3
Word = trampled, Frequency = 1
Word = liked, Frequency = 6
Word = smile, Frequency = 2
Word = confused, Frequency = 4
Word = fine, Frequency = 2
Word = find, Frequency = 21
Word = peering, Frequency = 1
Word = hearthrug, Frequency = 1
Word = likes, Frequency = 1
Word = waste, Frequency = 1
Word = cries, Frequency = 1
Word = cheerfully, Frequency = 1
Word = turtle, Frequency = 56
Word = sooner, Frequency = 2
Word = pleasant, Frequency = 1
Word = difficult, Frequency = 2
Word = dry, Frequency = 8
Word = sort, Frequency = 20
Word = seriously, Frequency = 1
Word = interrupted, Frequency = 9
Word = breeze, Frequency = 1
Word = picking, Frequency = 2
Word = friends, Frequency = 2
Word = heart, Frequency = 2
Word = labelled, Frequency = 1
Word = ringlets, Frequency = 2
Word = forget, Frequency = 2
Word = directions, Frequency = 3
Word = true, Frequency = 4
Word = leaning, Frequency = 2
Word = position, Frequency = 2
Word = present, Frequency = 3
Word = curtain, Frequency = 1
Word = softly, Frequency = 1
Word = laughter, Frequency = 1
Word = romeno, Frequency = 1
Word = handsome, Frequency = 1
Word = soup, Frequency = 18
Word = gryphon, Frequency = 54
Word = belong, Frequency = 1
Word = mustardmine, Frequency = 1
Word = nonsense, Frequency = 7
Word = breath, Frequency = 4
Word = uncommon, Frequency = 1
Word = hour, Frequency = 2
Word = advise, Frequency = 1
Word = repeat, Frequency = 7
Word = smoking, Frequency = 2
Word = alongcatch, Frequency = 1
Word = backsomersault, Frequency = 1
Word = suppressed, Frequency = 4
Word = met, Frequency = 3
Word = heard, Frequency = 30
Word = falling, Frequency = 2
Word = execution, Frequency = 2
Word = lullaby, Frequency = 1
Word = waving, Frequency = 5
Word = exactly, Frequency = 8
Word = rapidly, Frequency = 2
Word = master, Frequency = 3
Word = orange, Frequency = 1
Word = fright, Frequency = 2
Word = extraordinary, Frequency = 2
Word = witness, Frequency = 10
Word = riper, Frequency = 1
Word = meekly, Frequency = 2
Word = tougher, Frequency = 1
Word = puzzle, Frequency = 1
Word = pulling, Frequency = 1
Word = drawling, Frequency = 1
Word = coming, Frequency = 9
Word = splashed, Frequency = 1
Word = doubtfully, Frequency = 2
Word = powdered, Frequency = 1
Word = annoy, Frequency = 1
Word = feared, Frequency = 1
Word = woke, Frequency = 1
Word = righthand, Frequency = 2
Word = trims, Frequency = 1
Word = scream, Frequency = 2
Word = giddy, Frequency = 2
Word = sorrow, Frequency = 2
Word = goodnaturedly, Frequency = 1
Word = trees, Frequency = 7
Word = crash, Frequency = 2
Word = bank, Frequency = 2
Word = character, Frequency = 1
Word = procession, Frequency = 5
Word = sizes, Frequency = 1
Word = meaning, Frequency = 8
Word = moreas, Frequency = 1
Word = ignorant, Frequency = 1
Word = drawing, Frequency = 1
Word = fire, Frequency = 3
Word = dutchess, Frequency = 1
Word = stick, Frequency = 4
Word = adventures, Frequency = 6
Word = moderate, Frequency = 1
Word = height, Frequency = 5
Word = singing, Frequency = 2
Word = scratching, Frequency = 1
Word = invent, Frequency = 1
Word = questionshow, Frequency = 1
Word = received, Frequency = 1
Word = wonderful, Frequency = 2
Word = execute, Frequency = 1
Word = pointed, Frequency = 1
Word = twentyfour, Frequency = 2
Word = rude, Frequency = 2
Word = boxed, Frequency = 1
Word = impatiently, Frequency = 5
Word = animal, Frequency = 1
Word = shower, Frequency = 2
Word = shared, Frequency = 1
Word = 29, Frequency = 1
Word = latitude, Frequency = 2
Word = respectable, Frequency = 1
Word = knocked, Frequency = 1
Word = believe, Frequency = 9
Word = fell, Frequency = 6
Word = remember, Frequency = 14
Word = pieces, Frequency = 3
Word = butterfly, Frequency = 1
Word = boots, Frequency = 4
Word = grumbled, Frequency = 1
Word = free, Frequency = 3
Word = honour, Frequency = 4
Word = twinkle, Frequency = 8
Word = stiff, Frequency = 1
Word = middle, Frequency = 7
Word = idiotic, Frequency = 1
Word = bother, Frequency = 1
Word = expression, Frequency = 1
Word = coils, Frequency = 1
Word = childhood, Frequency = 1
Word = aftertime, Frequency = 1
Word = people, Frequency = 13
Word = stay, Frequency = 5
Word = appear, Frequency = 2
Word = face, Frequency = 14
Word = oldest, Frequency = 1
Word = afraid, Frequency = 12
Word = fish, Frequency = 3
Word = open, Frequency = 7
Word = treat, Frequency = 1
Word = expressing, Frequency = 1
Word = downhere, Frequency = 1
Word = exclamation, Frequency = 1
Word = locks, Frequency = 2
Word = melancholy, Frequency = 6
Word = leaves, Frequency = 6
Word = bark, Frequency = 2
Word = roughly, Frequency = 1
Word = wood, Frequency = 7
Word = riddles, Frequency = 1
Word = miceoh, Frequency = 1
Word = surprise, Frequency = 5
Word = distancebut, Frequency = 1
Word = maps, Frequency = 1
Word = impatient, Frequency = 1
Word = dropping, Frequency = 1
Word = quarrelling, Frequency = 2
